             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-14:18      -       -  39.3  30.1   0.0    0.0  68.4   2.0  12.4  18.6   0.7 583560.2 58375.5
07/17-14:19      -       -  39.5  30.0   0.0    0.0  67.7   2.0  12.4  18.6   0.7 581744.1 58796.3
07/17-14:20      -       -  39.6  29.7   0.0    0.0  67.1   5.4  12.4  18.6   0.7 585042.9 59613.0
07/17-14:21      -       -  39.4  29.3   0.0    0.0  67.9   1.7  12.4  18.6   0.7 578645.9 58554.9
07/17-14:22      -       -  39.4  28.7   0.0    0.0  69.0   1.7  12.4  18.6   0.7 581107.4 58079.3
07/17-14:23      -       -  39.3  28.0   0.0    0.0  69.4   1.5  12.4  18.6   0.7 579398.1 57896.4
07/17-14:24      -       -  39.4  27.5   0.0    0.0  68.7   1.8  12.4  18.6   0.7 582809.5 58562.7
07/17-14:25      -       -  40.1  26.4   0.0    0.0  68.6   6.6  12.4  18.6   0.7 579967.0 57857.1
07/17-14:26      -       -  39.5  25.5   0.0    0.0  67.9   2.3  12.4  18.6   0.7 573125.6 58179.1
07/17-14:27      -       -  19.6  24.8   0.0    0.0  71.7   1.7  12.4  18.6   0.7 307509.5 31139.8
07/17-14:28      -       -   2.6  24.8   0.0    0.0 4540.5   1.8  12.4  18.6   0.7    70.3    86.2
07/17-14:29      -       -   1.6   2.5   0.0    0.0 2007.6   1.8  12.4  18.6   0.7    41.5    65.2
07/17-14:30      -       -   0.2   2.4   0.0    0.0  80.7   5.8  12.4  18.6   0.7    18.7    24.5
07/17-14:31      -       -  22.7   6.1   0.0    0.0  46.3   2.0  12.4  18.6   0.7 396664.8 47324.9
07/17-14:32      -       -  41.1   9.7   0.0    0.0  66.6   2.4  12.4  18.6   0.7 717534.8 58549.0
07/17-14:33      -       -  40.7  12.8   0.0    0.0  71.9   1.4  12.4  18.6   0.7 687246.2 52424.9
07/17-14:34      -       -  40.4  15.8   0.0    0.0  71.4   1.9  12.4  18.6   0.7 698755.2 54384.4
07/17-14:35      -       -  40.6  18.3   0.0    0.0  71.6   2.8  12.4  18.6   0.7 703609.2 54127.2
07/17-14:36      -       -  40.1  19.6   0.0    0.0  70.9   5.0  12.4  18.6   0.7 710986.7 55611.9
07/17-14:37      -       -  40.4  22.3   0.0    0.0  71.8   1.7  12.4  18.6   0.7 705179.3 54253.0
07/17-14:38      -       -  40.1  23.7   0.0    0.0  72.4   1.6  12.4  18.6   0.7 691879.3 53485.0
07/17-14:39      -       -  40.5  25.6   0.0    0.0  71.5   2.1  12.4  18.6   0.7 705303.6 54610.2
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-14:40      -       -  39.8  26.9   0.0    0.0  72.4   2.5  12.4  18.6   0.7 702586.1 54492.8
07/17-14:41      -       -  39.8  28.1   0.0    0.0  71.6   4.9  12.4  18.6   0.7 706298.1 55115.7
07/17-14:42      -       -  39.6  29.3   0.0    0.0  71.1   1.6  12.4  18.6   0.7 708824.5 55136.7
07/17-14:43      -       -  39.7  30.5   0.0    0.0  71.3   1.8  12.4  18.6   0.7 708870.5 54929.6
07/17-14:44      -       -  39.8  31.8   0.0    0.0  71.3   1.8  12.4  18.6   0.7 709775.0 54842.5
07/17-14:45      -       -  39.6  32.9   0.0    0.0  71.6   2.4  12.4  18.6   0.7 712442.7 55636.2
07/17-14:46      -       -  39.1  34.3   0.0    0.0  72.5   5.2  12.4  18.6   0.7 709191.4 55173.4
07/17-14:47      -       -  39.4  35.7   0.0    0.0  72.3   1.8  12.4  18.6   0.7 708744.7 54726.0
07/17-14:48      -       -  40.3  36.2   0.0    0.0  68.3   2.3  12.4  18.6   0.7 700209.1 56582.3
07/17-14:49      -       -  40.1  37.7   0.0    0.0  67.5   1.7  12.4  18.6   0.7 710086.9 57059.9
07/17-14:50      -       -  40.4  39.2   0.0    0.0  68.3   2.5  12.4  18.6   0.7 711485.0 57086.2
07/17-14:51      -       -  39.4  39.4   0.0    0.0  68.5   2.1  12.4  18.6   0.7 711265.5 57515.7
07/17-14:52      -       -  40.2  41.2   0.0    0.0  67.9   4.7  12.4  18.6   0.7 711958.6 57450.1
07/17-14:53      -       -  40.4  42.7   0.0    0.0  66.6   1.9  12.4  18.6   0.7 711048.9 58203.1
07/17-14:54      -       -  39.7  43.0   0.0    0.0  68.0   1.8  12.4  18.6   0.7 713587.8 57821.4
07/17-14:55      -       -  40.1  44.4   0.0    0.0  67.0   2.6  12.4  18.6   0.7 711171.3 57488.1
07/17-14:56      -       -  40.5  46.4   0.0    0.0  66.8   1.9  12.4  18.6   0.7 702780.0 56871.8
07/17-14:57      -       -  39.9  46.5   0.0    0.0  66.2   5.1  12.4  18.6   0.7 715553.3 59317.5
07/17-14:58      -       -  40.3  46.8   0.0    0.0  66.7   2.2  12.4  18.6   0.7 709249.0 57219.6
07/17-14:59      -       -  40.4  47.0   0.0    0.0  66.8   1.7  12.4  18.6   0.7 712800.5 58023.7
07/17-15:00      -       -  40.6  47.5   0.0    0.0  66.3   2.4  12.4  18.6   0.7 712170.4 57607.0
07/17-15:01      -       -  14.9  47.5   0.0    0.0  73.4   2.2  12.4  18.6   0.7 264408.7 21280.4
07/17-15:02      -       -   2.7  47.5   0.0    0.0 4253.1   5.1  12.4  18.6   0.7    79.6    94.3
07/17-15:03      -       -   1.3   2.5   0.0    0.0 1665.8   1.6  12.4  18.6   0.7    29.9    52.8
07/17-15:04      -       -   0.4   2.7   0.0    0.0  40.7   1.7  12.4  18.6   0.7  2317.3    45.0
07/17-15:05      -       -  27.9   7.8   0.0    0.0  47.4   2.8  12.4  18.6   0.7 565619.9 57841.1
07/17-15:06      -       -  40.9  13.1   0.0    0.0  70.4   2.0  12.4  18.6   0.7 835454.0 55682.9
07/17-15:07      -       -  40.2  17.6   0.0    0.0  75.4   4.9  12.4  18.6   0.7 816114.3 51908.7
07/17-15:08      -       -  40.2  21.2   0.0    0.0  73.3   1.9  12.4  18.6   0.7 835536.4 54295.0
07/17-15:09      -       -  39.9  23.7   0.0    0.0  72.2   1.6  12.4  18.6   0.7 837852.4 55586.4
07/17-15:10      -       -  40.0  25.9   0.0    0.0  73.4   1.8  12.4  18.6   0.7 831292.9 54866.6
