             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-19:40      -       -  15.4  24.1   0.0    0.0   1.5   2.0  14.1  18.6   4.0 1081677.4 55091.5
07/17-19:41      -       -  11.4  50.9   0.0    0.0   1.8   2.1  14.1  18.6   4.0 1077634.1 58094.5
07/17-19:42      -       -  11.8  51.3   0.0    0.0   2.1   5.2  14.1  18.6   4.0 1081027.9 59859.1
07/17-19:43      -       -  11.2  51.4   0.0    0.0   2.4   1.5  14.1  18.6   4.0 1085456.1 59705.7
07/17-19:44      -       -  11.2  51.4   0.0    0.0   2.7   1.7  14.1  18.6   4.0 1085738.0 58013.6
07/17-19:45      -       -  10.6  51.5   0.0    0.0   2.9   1.3  14.1  18.6   4.0 1083829.8 59321.8
07/17-19:46      -       -  11.0  51.5   0.0    0.0   3.2   2.1  14.1  18.6   4.0 1085954.5 59799.3
07/17-19:47      -       -  10.8  51.5   0.0    0.0   3.4   2.3  14.1  18.6   4.0 1089164.1 59746.8
07/17-19:48      -       -  10.6  51.5   0.0    0.0   3.5   4.4  14.1  18.6   4.0 1088978.2 57613.6
07/17-19:49      -       -  10.1  51.5   0.0    0.0   3.5   1.3  14.1  18.6   4.0 1096575.3 52145.2
07/17-19:50      -       -  10.4  51.6   0.0    0.0   3.4   1.2  14.1  18.6   4.0 1081237.5 53019.6
07/17-19:51      -       -  10.0  51.7   0.0    0.0   3.6   1.4  14.1  18.6   4.0 1102398.5 57182.5
07/17-19:52      -       -  10.3  51.7   0.0    0.0   3.4   2.6  14.1  18.6   4.0 1104112.0 57074.6
07/17-19:53      -       -   9.9  51.7   0.0    0.0   3.5   4.6  14.1  18.6   4.0 1106153.6 59627.5
07/17-19:54      -       -  10.1  51.8   0.0    0.0   3.2   1.7  14.1  18.6   4.0 1102439.3 59159.3
07/17-19:55      -       -   9.6  51.8   0.0    0.0   3.4   1.6  14.1  18.6   4.0 1101045.9 55528.1
07/17-19:56      -       -   9.3  51.8   0.0    0.0   3.6   1.4  14.1  18.6   4.0 1097534.6 55733.2
07/17-19:57      -       -   9.5  51.8   0.0    0.0   3.1   2.7  14.1  18.6   4.0 1101083.5 56163.4
07/17-19:58      -       -   9.4  51.8   0.0    0.0   2.8   4.7  14.1  18.6   4.0 1100245.0 57974.3
07/17-19:59      -       -   9.4  51.8   0.0    0.0   3.0   2.1  14.1  18.6   4.0 1104761.1 58197.1
07/17-20:00      -       -   9.2  51.8   0.0    0.0   3.0   1.0  14.1  18.6   4.0 1077504.1 54297.5
07/17-20:01      -       -   9.6  51.8   0.0    0.0   3.0   1.3  14.1  18.6   4.0 1099085.8 57766.1
07/17-20:02      -       -   9.3  51.9   0.0    0.0   3.2   2.1  14.1  18.6   4.0 1101393.0 56267.1
07/17-20:03      -       -   9.4  51.9   0.0    0.0   3.0   4.9  14.1  18.6   4.0 1101786.5 57653.2
07/17-20:04      -       -   9.4  51.9   0.0    0.0   2.9   1.5  14.1  18.6   4.0 1105291.4 59056.7
07/17-20:05      -       -   9.4  51.9   0.0    0.0   2.9   1.4  14.1  18.6   4.0 1100572.8 58284.9
07/17-20:06      -       -   9.5  51.9   0.0    0.0   2.9   1.3  14.1  18.6   4.0 1106520.9 58917.6
07/17-20:07      -       -   9.4  51.9   0.0    0.0   3.1   2.2  14.1  18.6   4.0 1097532.3 56746.9
07/17-20:08      -       -   6.7  51.9   0.0    0.0   2.9   5.6  14.1  18.6   4.0 736879.4 38545.0
07/17-20:09      -       -   0.4  51.9   0.0    0.0 123.8   2.0  14.1  18.6   4.0    21.5    24.7
07/17-20:10      -       -   1.4  51.8   0.0    0.0  49.4   2.0  14.0  18.6   4.0    19.2    26.4
